"","2.5%","50%","97.5%"
"tot_ln_Rec[1]",847.903500496882,1167.32463919068,1685.26715013793
"tot_ln_Rec[2]",1159.3697454912,1570.34976673673,2205.52756935291
"tot_ln_Rec[3]",805.550336589737,1097.45740137208,1617.69339303576
"tot_ln_Rec[4]",394.624015444373,572.883671913499,866.838184608639
"tot_ln_Rec[5]",1300.72343939178,1768.84464395485,2423.9604821735
"tot_ln_Rec[6]",1619.784762105,2222.01101414754,3041.68181774201
"tot_ln_Rec[7]",760.620972284001,1068.25260405739,1567.84922226859
"tot_ln_Rec[8]",856.485152492304,1199.25432716458,1727.95159674168
"tot_ln_Rec[9]",1324.3582077127,1843.7136495255,2500.61466642288
"tot_ln_Rec[10]",719.324056434271,1073.09048974689,1495.13929085498
"tot_ln_Rec[11]",1182.04777973375,1680.02974860481,2307.92239635127
"tot_ln_Rec[12]",425.583158320077,620.1538349962,892.952133243598
"tot_ln_Rec[13]",1420.63076856208,1889.46202316403,2596.4325321384
"tot_ln_Rec[14]",1856.80016688703,2492.20424231973,3537.14858308726
"tot_ln_Rec[15]",873.941696289455,1222.30244064111,1728.45680322023
"tot_ln_Rec[16]",902.653411120546,1227.41051868455,1666.52380841321
"tot_ln_Rec[17]",2262.30925748172,3130.09630944563,4115.10205639261
"tot_ln_Rec[18]",2018.11332985269,2882.21910431196,3811.62393348876
"tot_ln_Rec[19]",715.42947195556,1113.01753242612,1599.47378928729
"tot_ln_Rec[20]",1375.25016281995,1981.22358528694,2701.69866735337
"tot_ln_Rec[21]",1501.44351781038,2220.7878969976,3010.53860732851
"tot_ln_Rec[22]",2443.48148269628,3538.09329137338,4798.76056924547
"tot_ln_Rec[23]",3216.14750967121,4802.74560457309,7549.94454661564
"tot_ln_Rec[24]",760.291286015779,1603.04494060714,3419.78987970956
"tot_ln_Rec[25]",708.906890716878,2127.7668895431,6387.20675566916
