year,escapement
1992,7348
1993,5801
1994,5472
1995,6813
1996,10519
1997,4792
1998,14518
1999,4808.52
2000,16748.01
2001,13641
2002,19494
2003,9586.99
2004,23369.97
2005,20624
2006,20664
2007,11177
2008,11574.76
2009,6884.88
2010,7946.99
2011,5445
2012,13743.38095
2013,10809.95128
2014,10401
2015,12988
2016,19209
2017,12497
2018,10827.05952
